country,indicator,year,value
BD,agriculture_value,1960,57.4743123752637
BD,agriculture_value,1961,57.9882359513306
BD,agriculture_value,1962,57.0185740229353
BD,agriculture_value,1963,57.146668173399
BD,agriculture_value,1964,53.3568366475041
BD,agriculture_value,1965,52.8186947728848
BD,agriculture_value,1966,53.9473705792359
BD,agriculture_value,1967,55.8524783666106
BD,agriculture_value,1968,53.555739970899
BD,agriculture_value,1969,55.4128189249571
BD,agriculture_value,1970,54.5614999911132
BD,agriculture_value,1971,51.0313112066753
BD,agriculture_value,1972,59.6099059973143
BD,agriculture_value,1973,56.6388529969867
BD,agriculture_value,1974,56.6365531249665
BD,agriculture_value,1975,61.9541391335466
BD,agriculture_value,1976,51.9144569344659
BD,agriculture_value,1977,48.898056925939
BD,agriculture_value,1978,54.2503083024678
BD,agriculture_value,1979,52.4520120556112
BD,agriculture_value,1980,32.8238918515406
BD,agriculture_value,1981,31.9515169185203
BD,agriculture_value,1982,31.4416963304952
BD,agriculture_value,1983,31.0460304619363
BD,agriculture_value,1984,34.6986320797597
BD,agriculture_value,1985,33.0067315667626
BD,agriculture_value,1986,32.3691528885324
BD,agriculture_value,1987,32.6639009291872
BD,agriculture_value,1988,31.3191777996177
BD,agriculture_value,1989,30.5616428363458
BD,agriculture_value,1990,30.4898330963098
BD,agriculture_value,1991,31.6770232352381
BD,agriculture_value,1992,30.5175252361271
BD,agriculture_value,1993,27.3210858173117
BD,agriculture_value,1994,26.7255375508155
BD,agriculture_value,1995,27.3043698025967
BD,agriculture_value,1996,23.266208049769
BD,agriculture_value,1997,23.2461437492233
BD,agriculture_value,1998,22.5874157614312
BD,agriculture_value,1999,22.6584111161909
BD,agriculture_value,2000,22.7181480755923
BD,agriculture_value,2001,21.8483405815259
BD,agriculture_value,2002,20.5841344226366
BD,agriculture_value,2003,19.8127182977042
BD,agriculture_value,2004,19.2669595662859
BD,agriculture_value,2005,18.5710395455964
BD,agriculture_value,2006,18.0340165108542
BD,agriculture_value,2007,17.8065367823955
BD,agriculture_value,2008,17.5956955421992
BD,agriculture_value,2009,17.1046290519632
BD,agriculture_value,2010,17.0011812592919
BD,agriculture_value,2011,16.8099867573503
BD,agriculture_value,2012,16.1775631732753
BD,agriculture_value,2013,15.4932779975908
BD,agriculture_value,2014,15.3516208986344
BD,agriculture_value,2015,14.7829964369364
BD,agriculture_value,2016,13.4647923176039
BD,agriculture_value,2017,12.9572760433733
BD,agriculture_value,2018,12.4800771856196
BD,agriculture_value,2019,11.9753231358984
BD,agriculture_value,2020,11.9996868602485
BD,agriculture_value,2021,11.6328584271282
BD,agriculture_value,2022,11.2176010351595
BD,agriculture_value,2023,11.0036900209598
BD,agriculture_value,2024,11.1648014276903
BD,gdp_per_capita,1960,82.4812774116354
BD,gdp_per_capita,1961,90.3685786294248
BD,gdp_per_capita,1962,92.5894211769315
BD,gdp_per_capita,1963,94.1423742967849
BD,gdp_per_capita,1964,92.5782977938389
BD,gdp_per_capita,1965,98.6041470420746
BD,gdp_per_capita,1966,104.42205467886
BD,gdp_per_capita,1967,114.209881696109
BD,gdp_per_capita,1968,114.414967470375
BD,gdp_per_capita,1969,125.880311698198
BD,gdp_per_capita,1970,130.218160844955
BD,gdp_per_capita,1971,124.533963099152
BD,gdp_per_capita,1972,87.773765191476
BD,gdp_per_capita,1973,109.691726756912
BD,gdp_per_capita,1974,164.986393602814
BD,gdp_per_capita,1975,249.804254016022
BD,gdp_per_capita,1976,126.693044204437
BD,gdp_per_capita,1977,117.887771379224
BD,gdp_per_capita,1978,158.324255152285
BD,gdp_per_capita,1979,181.130706703135
BD,gdp_per_capita,1980,206.075714312155
BD,gdp_per_capita,1981,224.241392391192
BD,gdp_per_capita,1982,199.595944646851
BD,gdp_per_capita,1983,184.70677287459
BD,gdp_per_capita,1984,193.435020976238
BD,gdp_per_capita,1985,222.22018039634
BD,gdp_per_capita,1986,212.14899385306
BD,gdp_per_capita,1987,231.499584520483
BD,gdp_per_capita,1988,247.901465967332
BD,gdp_per_capita,1989,263.005720827547
BD,gdp_per_capita,1990,283.053737055234
BD,gdp_per_capita,1991,272.064948495878
BD,gdp_per_capita,1992,273.465072520272
BD,gdp_per_capita,1993,280.757274450366
BD,gdp_per_capita,1994,280.603031791216
BD,gdp_per_capita,1995,309.458680823367
BD,gdp_per_capita,1996,371.917937677345
BD,gdp_per_capita,1997,379.284917709635
BD,gdp_per_capita,1998,385.616881752796
BD,gdp_per_capita,1999,388.095684268235
BD,gdp_per_capita,2000,396.670730249751
BD,gdp_per_capita,2001,394.65641001891
BD,gdp_per_capita,2002,393.886422327628
BD,gdp_per_capita,2003,426.74880754362
BD,gdp_per_capita,2004,455.614016909798
BD,gdp_per_capita,2005,480.08585075452
BD,gdp_per_capita,2006,490.388026533289
BD,gdp_per_capita,2007,537.955492792911
BD,gdp_per_capita,2008,613.06204104124
BD,gdp_per_capita,2009,679.211477428056
BD,gdp_per_capita,2010,757.385280361508
BD,gdp_per_capita,2011,837.336944695647
BD,gdp_per_capita,2012,859.680536375497
BD,gdp_per_capita,2013,958.262989798283
BD,gdp_per_capita,2014,1094.46199702838
BD,gdp_per_capita,2015,1224.38647668165
BD,gdp_per_capita,2016,1649.28380858601
BD,gdp_per_capita,2017,1811.08221668646
BD,gdp_per_capita,2018,1965.24372731467
BD,gdp_per_capita,2019,2129.79896954606
BD,gdp_per_capita,2020,2248.85078828233
BD,gdp_per_capita,2021,2482.84917843357
BD,gdp_per_capita,2022,2716.48592780431
BD,gdp_per_capita,2023,2551.01773827307
BD,gdp_per_capita,2024,2593.41611680774
BD,population,1960,51828660.0
BD,population,1961,53310348.0
BD,population,1962,54881146.0
BD,population,1963,56504402.0
BD,population,1964,58178374.0
BD,population,1965,59902519.0
BD,population,1966,61669806.0
BD,population,1967,63510929.0
BD,population,1968,65408276.0
BD,population,1969,67294133.0
BD,population,1970,69058894.0
BD,population,1971,70276758.0
BD,population,1972,71641519.0
BD,population,1973,73722294.0
BD,population,1974,75839348.0
BD,population,1975,77854351.0
BD,population,1976,79855318.0
BD,population,1977,81867264.0
BD,population,1978,83889655.0
BD,population,1979,85935072.0
BD,population,1980,88016432.0
BD,population,1981,90303105.0
BD,population,1982,92814507.0
BD,population,1983,95335155.0
BD,population,1984,97814966.0
BD,population,1985,100253825.0
BD,population,1986,102635572.0
BD,population,1987,104959291.0
BD,population,1988,107216008.0
BD,population,1989,109433799.0
BD,population,1990,111633717.0
BD,population,1991,113787109.0
BD,population,1992,115952192.0
BD,population,1993,118132360.0
BD,population,1994,120343179.0
BD,population,1995,122600370.0
BD,population,1996,124862179.0
BD,population,1997,127198069.0
BD,population,1998,129622332.0
BD,population,1999,132108065.0
BD,population,2000,134544304.0
BD,population,2001,136805810.0
BD,population,2002,138933658.0
BD,population,2003,140970351.0
BD,population,2004,142902856.0
BD,population,2005,144715786.0
BD,population,2006,146405973.0
BD,population,2007,147989278.0
BD,population,2008,149474264.0
BD,population,2009,150873714.0
BD,population,2010,152201981.0
BD,population,2011,153591076.0
BD,population,2012,155070101.0
BD,population,2013,156532141.0
BD,population,2014,157964929.0
BD,population,2015,159383179.0
BD,population,2016,160811932.0
BD,population,2017,162186147.0
BD,population,2018,163523103.0
BD,population,2019,164913055.0
BD,population,2020,166298024.0
BD,population,2021,167658854.0
BD,population,2022,169384897.0
BD,population,2023,171466990.0
BD,population,2024,173562364.0
BD,poverty_headcount,1983,47.1
BD,poverty_headcount,1985,41.4
BD,poverty_headcount,1988,51.1
BD,poverty_headcount,1991,51.2
BD,poverty_headcount,1995,43.4
BD,poverty_headcount,2000,41.4
BD,poverty_headcount,2005,32.3
BD,poverty_headcount,2010,25.1
BD,poverty_headcount,2016,19.5
BD,poverty_headcount,2022,5.9
BD,school_enrollment,1970,51.62585
BD,school_enrollment,1973,72.03309
BD,school_enrollment,1976,76.7823
BD,school_enrollment,1977,73.18313
BD,school_enrollment,1978,72.14783
BD,school_enrollment,1981,68.55957
BD,school_enrollment,1983,65.58304
BD,school_enrollment,1984,64.46519
BD,school_enrollment,1985,62.89953
BD,school_enrollment,1986,62.08812
BD,school_enrollment,1987,61.20893
BD,school_enrollment,1988,71.93169
BD,school_enrollment,1989,71.90344
BD,school_enrollment,1990,74.92288
BD,school_enrollment,2005,93.68999
BD,school_enrollment,2006,93.43051
BD,school_enrollment,2008,92.56719
BD,school_enrollment,2009,92.54123
BD,school_enrollment,2010,90.53203
BD,unemployment_rate,1991,2.2
BD,unemployment_rate,1992,2.233
BD,unemployment_rate,1993,2.31
BD,unemployment_rate,1994,2.37
BD,unemployment_rate,1995,2.441
BD,unemployment_rate,1996,2.51
BD,unemployment_rate,1997,2.698
BD,unemployment_rate,1998,2.893
BD,unemployment_rate,1999,3.088
BD,unemployment_rate,2000,3.27
BD,unemployment_rate,2001,3.609
BD,unemployment_rate,2002,3.966
BD,unemployment_rate,2003,4.32
BD,unemployment_rate,2004,4.316
BD,unemployment_rate,2005,4.25
BD,unemployment_rate,2006,3.591
BD,unemployment_rate,2007,4.015
BD,unemployment_rate,2008,4.49
BD,unemployment_rate,2009,5.0
BD,unemployment_rate,2010,3.379
BD,unemployment_rate,2011,3.737
BD,unemployment_rate,2012,4.07
